idx,x,y,q1_deg,q2_deg
0,-0.07715000983931933,0.07188722571971609,80.73343056839633,112.57790096718226
1,-0.0771511064520091,0.0720966614020408,80.70279938568639,112.47369181391919
2,-0.07715439616982242,0.07230607411738281,80.67390143039982,112.36810965373536
3,-0.07715987863200469,0.07251544090127802,80.64673814278882,112.26116882160022
4,-0.07716755323734215,0.07272473879429925,80.62131059569714,112.1528837778769
5,-0.07717741914422784,0.07293394484457393,80.5976194976145,112.04326910473948
6,-0.07718947527075387,0.0731430361103011,80.57566519586928,111.93233950262022
7,-0.07720372029483012,0.07335198966226726,80.55544767995409,111.82010978668778
8,-0.07722015265432917,0.07356078258636073,80.53696658497837,111.70659488335885
9,-0.07723877054725764,0.0737693919860845,80.52022119524275,111.59180982684433
10,-0.07725957193195376,0.07397779498506707,80.50521044792865,111.47576975573206
11,-0.07728255452731128,0.07418596872957113,80.49193293689846,111.35848990960731
12,-0.07730771581302961,0.07439389039099967,80.4803869165998,111.23998562571265
13,-0.07733505302989027,0.07460153716839947,80.47057030606868,111.12027233564825
14,-0.07736456318005935,0.0748088862909614,80.46248069302581,110.99936556211445
15,-0.07739624302741634,0.07501591502051758,80.45611533806064,110.87728091569703
16,-0.07743008909790895,0.0752226006540348,80.45147117889724,110.75403409169691
17,-0.07746609767993418,0.07542892052610421,80.44854483473749,110.6296408670049
18,-0.0775042648247452,0.07563485201142683,80.44733261067486,110.50411709702281
19,-0.0775445863468845,0.07584037252729466,80.44783050217487,110.3774787126313
20,-0.07758705782464279,0.07604545953606712,80.45003419961596,110.2497417172058
21,-0.0776316746005439,0.07625009054764258,80.45393909288636,110.1209221836807
22,-0.0776784317818556,0.07645424312192464,80.45954027603133,109.99103625166309
23,-0.07772732424112604,0.07665789487128294,80.46683255194635,109.86010012459583
24,-0.07777834661674608,0.07686102346300822,80.47581043711101,109.72813006697112
25,-0.07783149331353728,0.07706360662176133,80.48646816635897,109.59514240159469
26,-0.07788675850336543,0.07726562213201603,80.4987996976796,109.461153506901
27,-0.07794413612577968,0.0774670478404951,80.51279871704624,109.32617981431989
28,-0.07800361988867714,0.07766786165859974,80.52845864326714,109.19023780569461
29,-0.07806520326899288,0.07786804156483185,80.54577263285469,109.05334401075181
30,-0.07812887951341528,0.07806756560720886,80.56473358490831,108.91551500462322
31,-0.07819464163912658,0.07826641190567112,80.58533414600768,108.77676740541925
32,-0.0782624824345686,0.07846455865448118,80.60756671511173,108.6371178718546
33,-0.07833239446023364,0.07866198412461514,80.63142344845976,108.49658310092553
34,-0.07840437004948025,0.07885866666614542,80.6568962644712,108.35517982563896
35,-0.07847840130937397,0.07905458471061493,80.68397684864007,108.21292481279296
36,-0.0785544801215529,0.07924971677340228,80.712656658421,108.06983486080874
37,-0.07863259814311796,0.07944404145607788,80.7429269281034,107.92592679761344
38,-0.07871274680754776,0.0796375374487504,80.77477867367037,107.78121747857382
39,-0.07879491732563806,0.07983018353240376,80.80820269763943,107.63572378448018
40,-0.07887910068646559,0.08002195858122396,80.84318959388258,107.48946261958018
41,-0.07896528765837615,0.08021284156491579,80.87972975242187,107.34245090966232
42,-0.07905346878999704,0.08040281155100903,80.91781336419851,107.19470560018816
43,-0.07914363441127348,0.08059184770715394,80.95743042581314,107.04624365447319
44,-0.079235774634529,0.08077992930340575,80.99857074423382,106.89708205191546
45,-0.0793298793555498,0.08096703571449795,81.04122394147069,106.74723778627147
46,-0.07942593825469277,0.08115314642210406,81.08537945921384,106.5967278639789
47,-0.07952394079801711,0.08133824101708773,81.13102656343337,106.44556930252503
48,-0.07962387623843958,0.08152229920174076,81.17815434893889,106.29377912886068
49,-0.07972573361691297,0.08170530079200909,81.22675174389713,106.14137437785845
50,-0.07982950176362788,0.0818872257197061,81.27680751430529,105.98837209081512
51,-0.07993516929923768,0.08206805403471333,81.32831026841949,105.83478931399652
52,-0.08004272463610632,0.08224776590716834,81.38124846113563,105.68064309722511
53,-0.08015215597957906,0.0824263416296391,81.43561039832197,105.52595049250874
54,-0.08026345132927593,0.0826037616192853,81.4913842411022,105.37072855270982
55,-0.08037659848040762,0.08278000642000574,81.54855801008705,105.21499433025431
56,-0.080491585025114,0.0829550567045719,81.60711958955426,105.05876487587952
57,-0.08060839835382463,0.08312889327674747,81.66705673157504,104.90205723741957
58,-0.08072702565664168,0.08330149707339331,81.72835706008684,104.74488845862811
59,-0.08084745392474456,0.08347284916655809,81.79100807491078,104.5872755780367
60,-0.08096966995181656,0.08364293076555379,81.85499715571417,104.42923562784866
61,-0.0810936603354931,0.08381172321901648,81.92031156591594,104.27078563286668
62,-0.08121941147883134,0.0839792080169515,81.98693845653592,104.1119426094538
63,-0.08134690959180133,0.08414536679276335,82.0548648699862,103.95272356452665
64,-0.08147614069279821,0.08431018132526988,82.12407774380537,103.79314549457945
65,-0.08160709061017546,0.08447363354070025,82.19456391433411,103.63322538473874
